category,domain,metric,value
classification,Healthcare,precision,1.0
classification,Healthcare,recall,1.0
classification,Healthcare,f1_score,1.0
classification,Healthcare,accuracy,1.0
classification,Healthcare,false_quarantine_rate,0.0
classification,Healthcare,true_positives,3
classification,Healthcare,false_positives,0
classification,Healthcare,true_negatives,5
classification,Healthcare,false_negatives,0
classification,Finance,precision,1.0
classification,Finance,recall,1.0
classification,Finance,f1_score,1.0
classification,Finance,accuracy,1.0
classification,Finance,false_quarantine_rate,0.0
classification,Finance,true_positives,3
classification,Finance,false_positives,0
classification,Finance,true_negatives,5
classification,Finance,false_negatives,0
confidence,Healthcare,mean_valid,1.0
confidence,Healthcare,mean_invalid,0.76
confidence,Healthcare,gap,0.24
confidence,Finance,mean_valid,1.0
confidence,Finance,mean_invalid,0.7
confidence,Finance,gap,0.3
confidence,Combined,mean,0.8903
confidence,Combined,std,0.1429
confidence,Combined,min,0.7
confidence,Combined,max,1.0
confidence,Combined,trusted_count,90
confidence,Combined,flagged_count,50
confidence,Combined,quarantined_count,0
rule_violations,Healthcare,HC-003,37
rule_violations,Healthcare,HC-001,3
rule_violations,Healthcare,HC-004,3
rule_violations,Finance,FN-001,6
rule_violations,Finance,FN-002,2
rule_violations,Finance,FN-004,2
latency_ms,All,n_records,140
latency_ms,All,mean,0.2606
latency_ms,All,std,0.7411
latency_ms,All,p50,0.09
latency_ms,All,p90,0.339
latency_ms,All,p95,1.1605
latency_ms,All,p99,3.0188
latency_ms,All,max,7.42
